,ID,song1,song2,song3,song4,song5
260,260,40398,25916,14822,50675,38084
261,261,54846,27850,21061,31985,10748
262,262,35024,21817,31608,27343,27318
263,263,5188,28716,28465,8085,11969
264,264,15462,18549,7368,4735,2052
265,265,9060,13623,22422,25234,56479
266,266,30628,39921,57608,15274,5477
267,267,8245,40075,56404,22504,28412
268,268,2565,34081,29892,29295,54135
269,269,52186,24046,5231,7706,21408
270,270,25206,21669,53197,30866,6455
271,271,47171,9027,14019,37256,38790
272,272,43846,31803,18527,5278,35522
273,273,4650,52636,43960,51166,6821
274,274,31849,27321,8264,2426,50836
275,275,33976,23874,42933,38908,18965
276,276,31530,55193,12871,12783,1852
277,277,21608,27572,23121,29704,9899
278,278,26869,977,1024,26056,20648
279,279,21440,53240,23667,12272,19952
280,280,8495,56699,40488,27414,12110
281,281,11755,25005,11735,23086,39632
282,282,12198,4197,40025,53212,39203
283,283,3463,4158,21322,21195,11366
284,284,3486,10256,54515,54545,4562
285,285,47967,47378,26365,42008,8697
286,286,13226,22830,9468,14014,9840
287,287,26400,11988,23283,32584,46726
288,288,23077,33537,23133,24696,4750
289,289,20477,35906,51156,35808,9035
290,290,50075,51848,52304,2024,53785
291,291,2789,2318,43169,1907,33892
292,292,41001,10173,54638,30877,43442
293,293,28603,42858,7318,54237,24148
294,294,2361,49757,40752,5547,46687
295,295,43234,46088,33237,9298,17420
296,296,11329,2638,28878,17661,33490
297,297,29627,17581,3994,468,4823
298,298,31617,41158,33390,5153,981
299,299,7090,15707,23665,25123,46441
300,300,20251,31096,53840,51602,31737
301,301,24353,40058,37689,18783,10839
302,302,18044,31561,11771,33091,5445
303,303,50110,39293,36331,50657,23840
304,304,3463,42679,32679,22650,1710
305,305,39450,44063,32576,29645,39449
306,306,54196,16395,41050,46490,9129
307,307,44717,54825,41910,11275,13013
308,308,50120,12950,2641,36769,53760
309,309,21401,20352,20080,42067,54297
310,310,23049,3190,50605,33990,12673
311,311,7339,31748,52542,23837,28864
312,312,51388,8510,10752,22131,16705
313,313,38681,13286,38719,41899,38152
314,314,22476,40528,3578,13534,37927
315,315,2488,15515,27153,24674,19343
316,316,837,30230,6776,52150,51636
317,317,38710,23336,12380,35886,27016
318,318,3692,25408,19885,33386,6527
319,319,25196,973,50365,14995,26642
320,320,11312,28695,11076,48532,44973
321,321,42546,43171,40528,53316,37927
322,322,42616,5709,50715,55269,42615
323,323,42904,21312,52392,48844,24148
324,324,26301,10173,54638,23296,22675
325,325,34160,56720,45550,4398,20814
326,326,24034,35584,691,25535,26920
327,327,20973,6985,19760,26681,35152
328,328,3592,17246,14558,1679,15153
329,329,53131,7191,40537,48467,26438
330,330,29420,21569,9546,46537,54916
331,331,39045,14801,9801,8892,18928
332,332,39612,45380,17843,5843,51210
333,333,43490,34306,39902,8060,31314
334,334,46824,35666,3014,17803,24834
335,335,27745,11829,17699,7587,29320
336,336,40652,17168,26319,22294,33617
337,337,55417,24488,44730,38117,33010
338,338,31539,45500,13650,31220,11585
339,339,26791,41726,25292,29770,11894
340,340,1829,21232,20664,46784,17088
341,341,56201,40096,10251,52107,23812
342,342,20669,9480,11379,11774,51562
343,343,28588,36233,27591,40636,56029
344,344,19057,45427,23234,42929,36976
345,345,2106,32072,18525,13007,763
346,346,6552,3850,23603,29055,15751
347,347,11206,40100,21395,27755,24565
348,348,40936,31852,6561,17395,2208
349,349,33890,548,30383,33339,2412
350,350,26387,46722,31828,56560,335
351,351,56571,4816,30056,21100,15688
352,352,353,5422,40936,5414,33082
353,353,786,21987,57181,57183,17381
354,354,51378,17048,27645,21245,45330
355,355,5582,38799,42705,39712,10839
356,356,33081,11231,21989,33397,40943
357,357,2453,17168,13715,336,9470
358,358,31845,31853,24256,24257,33141
359,359,6441,11247,33397,33075,50618
360,360,35490,35143,52,4161,31672
361,361,45058,24268,17355,3653,47344
362,362,16486,990,40262,40284,13548
363,363,48808,2866,5148,43257,29044
364,364,11446,29481,39847,27796,17777
365,365,26551,4775,24123,13252,39192
366,366,12347,10443,29489,27681,10444
367,367,17146,45727,53225,33801,18612
368,368,20741,6199,24751,19899,6955
369,369,46400,29746,18674,18159,34914
370,370,48657,1429,28807,39927,9249
371,371,22238,44781,24891,13484,55368
372,372,1332,54198,39372,19068,53546
373,373,22041,54347,50475,35797,10871
374,374,50722,89,57646,88,6966
375,375,6850,46848,185,28510,48467
376,376,28194,2018,34384,1742,29419
377,377,25518,35572,30683,21100,15688
378,378,32245,22024,1945,10836,44087
379,379,33911,27009,45685,25849,34657
380,380,26631,13814,51412,36389,12204
381,381,39778,3480,3490,2282,21527
382,382,1286,49500,13761,17946,12390
383,383,6617,40995,8014,8774,45514
384,384,21606,12679,47872,53579,4040
385,385,13781,25179,46788,46342,41081
386,386,23145,33975,1496,7824,26610
387,387,527,13818,53509,9558,39865
388,388,25018,14837,19674,10751,14523
389,389,22476,26267,40528,3578,37927
390,390,17161,11265,33709,18343,43150
391,391,34530,34437,46897,17617,14167
